x1,x2,x3,y
2018,8,AT,0.0
2025,8,AT,0.0
2030,8,AT,0.0
2035,8,AT,0.0
2040,8,AT,0.0
2045,8,AT,0.0
2050,8,AT,0.0
2018,1932,AT,0.0
2025,1932,AT,0.0
2030,1932,AT,0.0
2035,1932,AT,0.0
2040,1932,AT,0.0
2045,1932,AT,0.0
2050,1932,AT,0.0
2018,3856,AT,0.0
2025,3856,AT,0.0
2030,3856,AT,0.0
2035,3856,AT,0.0
2040,3856,AT,0.0
2045,3856,AT,0.0
2050,3856,AT,0.0
2018,5780,AT,0.0
2025,5780,AT,0.0
2030,5780,AT,0.0
2035,5780,AT,0.0
2040,5780,AT,0.0
2045,5780,AT,0.0
2050,5780,AT,0.0
2018,7704,AT,0.0
2025,7704,AT,0.0
2030,7704,AT,0.0
2035,7704,AT,0.0
2040,7704,AT,0.0
2045,7704,AT,0.0
2050,7704,AT,0.0
2018,8,BE,0.0
2025,8,BE,0.0
2030,8,BE,0.0
2035,8,BE,0.0
2040,8,BE,0.0
2045,8,BE,0.0
2050,8,BE,0.0
2018,1932,BE,0.0
2025,1932,BE,0.0
2030,1932,BE,0.0
2035,1932,BE,0.0
2040,1932,BE,0.0
2045,1932,BE,0.0
2050,1932,BE,0.0
2018,3856,BE,0.0
2025,3856,BE,0.0
2030,3856,BE,0.0
2035,3856,BE,0.0
2040,3856,BE,0.0
2045,3856,BE,0.0
2050,3856,BE,0.0
2018,5780,BE,0.0
2025,5780,BE,0.0
2030,5780,BE,0.0
2035,5780,BE,0.0
2040,5780,BE,0.0
2045,5780,BE,0.0
2050,5780,BE,0.0
2018,7704,BE,0.0
2025,7704,BE,0.0
2030,7704,BE,0.0
2035,7704,BE,0.0
2040,7704,BE,0.0
2045,7704,BE,0.0
2050,7704,BE,0.0
2018,8,BG,0.0
2025,8,BG,0.0
2030,8,BG,0.0
2035,8,BG,0.0
2040,8,BG,0.0
2045,8,BG,0.0
2050,8,BG,0.0
2018,1932,BG,0.0
2025,1932,BG,0.0
2030,1932,BG,0.0
2035,1932,BG,0.0
2040,1932,BG,0.0
2045,1932,BG,0.0
2050,1932,BG,0.0
2018,3856,BG,0.0
2025,3856,BG,0.0
2030,3856,BG,0.0
2035,3856,BG,0.0
2040,3856,BG,0.0
2045,3856,BG,0.0
2050,3856,BG,0.0
2018,5780,BG,0.0
2025,5780,BG,0.0
2030,5780,BG,0.0
2035,5780,BG,0.0
2040,5780,BG,0.0
2045,5780,BG,0.0
2050,5780,BG,0.0
2018,7704,BG,0.0
2025,7704,BG,0.0
2030,7704,BG,0.0
2035,7704,BG,0.0
2040,7704,BG,0.0
2045,7704,BG,0.0
2050,7704,BG,0.0
2018,8,CH,0.0
2025,8,CH,0.0
2030,8,CH,0.0
2035,8,CH,0.0
2040,8,CH,0.0
2045,8,CH,0.0
2050,8,CH,0.0
2018,1932,CH,0.0
2025,1932,CH,0.0
2030,1932,CH,0.0
2035,1932,CH,0.0
2040,1932,CH,0.0
2045,1932,CH,0.0
2050,1932,CH,0.0
2018,3856,CH,0.0
2025,3856,CH,0.0
2030,3856,CH,0.0
2035,3856,CH,0.0
2040,3856,CH,0.0
2045,3856,CH,0.0
2050,3856,CH,0.0
2018,5780,CH,0.0
2025,5780,CH,0.0
2030,5780,CH,0.0
2035,5780,CH,0.0
2040,5780,CH,0.0
2045,5780,CH,0.0
2050,5780,CH,0.0
2018,7704,CH,0.0
2025,7704,CH,0.0
2030,7704,CH,0.0
2035,7704,CH,0.0
2040,7704,CH,0.0
2045,7704,CH,0.0
2050,7704,CH,0.0
2018,8,CZ,0.0
2025,8,CZ,0.0
2030,8,CZ,0.0
2035,8,CZ,0.0
2040,8,CZ,0.0
2045,8,CZ,0.0
2050,8,CZ,0.0
2018,1932,CZ,0.0
2025,1932,CZ,0.0
2030,1932,CZ,0.0
2035,1932,CZ,0.0
2040,1932,CZ,0.0
2045,1932,CZ,0.0
2050,1932,CZ,0.0
2018,3856,CZ,0.0
2025,3856,CZ,0.0
2030,3856,CZ,0.0
2035,3856,CZ,0.0
2040,3856,CZ,0.0
2045,3856,CZ,0.0
2050,3856,CZ,0.0
2018,5780,CZ,0.0
2025,5780,CZ,0.0
2030,5780,CZ,0.0
2035,5780,CZ,0.0
2040,5780,CZ,0.0
2045,5780,CZ,0.0
2050,5780,CZ,0.0
2018,7704,CZ,0.0
2025,7704,CZ,0.0
2030,7704,CZ,0.0
2035,7704,CZ,0.0
2040,7704,CZ,0.0
2045,7704,CZ,0.0
2050,7704,CZ,0.0
2018,8,DE,0.0
2025,8,DE,0.0
2030,8,DE,0.0
2035,8,DE,0.0
2040,8,DE,0.0
2045,8,DE,0.0
2050,8,DE,0.0
2018,1932,DE,0.0
2025,1932,DE,0.0
2030,1932,DE,0.0
2035,1932,DE,0.0
2040,1932,DE,0.0
2045,1932,DE,0.0
2050,1932,DE,0.0
2018,3856,DE,0.0
2025,3856,DE,0.0
2030,3856,DE,0.0
2035,3856,DE,0.0
2040,3856,DE,0.0
2045,3856,DE,0.0
2050,3856,DE,0.0
2018,5780,DE,0.0
2025,5780,DE,0.0
2030,5780,DE,0.0
2035,5780,DE,0.0
2040,5780,DE,0.0
2045,5780,DE,0.0
2050,5780,DE,0.0
2018,7704,DE,0.0
2025,7704,DE,0.0
2030,7704,DE,0.0
2035,7704,DE,0.0
2040,7704,DE,0.0
2045,7704,DE,0.0
2050,7704,DE,0.0
2018,8,DK,0.0
2025,8,DK,0.0
2030,8,DK,0.0
2035,8,DK,0.0
2040,8,DK,0.0
2045,8,DK,0.0
2050,8,DK,0.0
2018,1932,DK,0.0
2025,1932,DK,0.0
2030,1932,DK,0.0
2035,1932,DK,0.0
2040,1932,DK,0.0
2045,1932,DK,0.0
2050,1932,DK,0.0
2018,3856,DK,0.0
2025,3856,DK,0.0
2030,3856,DK,0.0
2035,3856,DK,0.0
2040,3856,DK,0.0
2045,3856,DK,0.0
2050,3856,DK,0.0
2018,5780,DK,0.0
2025,5780,DK,0.0
2030,5780,DK,0.0
2035,5780,DK,0.0
2040,5780,DK,0.0
2045,5780,DK,0.0
2050,5780,DK,0.0
2018,7704,DK,0.0
2025,7704,DK,0.0
2030,7704,DK,0.0
2035,7704,DK,0.0
2040,7704,DK,0.0
2045,7704,DK,0.0
2050,7704,DK,0.0
2018,8,EE,0.0
2025,8,EE,0.0
2030,8,EE,0.0
2035,8,EE,0.0
2040,8,EE,0.0
2045,8,EE,0.0
2050,8,EE,0.0
2018,1932,EE,0.0
2025,1932,EE,0.0
2030,1932,EE,0.0
2035,1932,EE,0.0
2040,1932,EE,0.0
2045,1932,EE,0.0
2050,1932,EE,0.0
2018,3856,EE,0.0
2025,3856,EE,0.0
2030,3856,EE,0.0
2035,3856,EE,0.0
2040,3856,EE,0.0
2045,3856,EE,0.0
2050,3856,EE,0.0
2018,5780,EE,0.0
2025,5780,EE,0.0
2030,5780,EE,0.0
2035,5780,EE,0.0
2040,5780,EE,0.0
2045,5780,EE,0.0
2050,5780,EE,0.0
2018,7704,EE,0.0
2025,7704,EE,0.0
2030,7704,EE,0.0
2035,7704,EE,0.0
2040,7704,EE,0.0
2045,7704,EE,0.0
2050,7704,EE,0.0
2018,8,ES,0.0
2025,8,ES,0.0
2030,8,ES,0.0
2035,8,ES,0.0
2040,8,ES,0.0
2045,8,ES,0.0
2050,8,ES,0.0
2018,1932,ES,0.0
2025,1932,ES,0.0
2030,1932,ES,0.0
2035,1932,ES,0.0
2040,1932,ES,0.0
2045,1932,ES,0.0
2050,1932,ES,0.0
2018,3856,ES,0.0
2025,3856,ES,0.0
2030,3856,ES,0.0
2035,3856,ES,0.0
2040,3856,ES,0.0
2045,3856,ES,0.0
2050,3856,ES,0.0
2018,5780,ES,0.0
2025,5780,ES,0.0
2030,5780,ES,0.0
2035,5780,ES,0.0
2040,5780,ES,0.0
2045,5780,ES,0.0
2050,5780,ES,0.0
2018,7704,ES,0.0
2025,7704,ES,0.0
2030,7704,ES,0.0
2035,7704,ES,0.0
2040,7704,ES,0.0
2045,7704,ES,0.0
2050,7704,ES,0.0
2018,8,FI,0.0
2025,8,FI,0.0
2030,8,FI,0.0
2035,8,FI,0.0
2040,8,FI,0.0
2045,8,FI,0.0
2050,8,FI,0.0
2018,1932,FI,0.0
2025,1932,FI,0.0
2030,1932,FI,0.0
2035,1932,FI,0.0
2040,1932,FI,0.0
2045,1932,FI,0.0
2050,1932,FI,0.0
2018,3856,FI,0.0
2025,3856,FI,0.0
2030,3856,FI,0.0
2035,3856,FI,0.0
2040,3856,FI,0.0
2045,3856,FI,0.0
2050,3856,FI,0.0
2018,5780,FI,0.0
2025,5780,FI,0.0
2030,5780,FI,0.0
2035,5780,FI,0.0
2040,5780,FI,0.0
2045,5780,FI,0.0
2050,5780,FI,0.0
2018,7704,FI,0.0
2025,7704,FI,0.0
2030,7704,FI,0.0
2035,7704,FI,0.0
2040,7704,FI,0.0
2045,7704,FI,0.0
2050,7704,FI,0.0
2018,8,FR,0.0
2025,8,FR,0.0
2030,8,FR,0.0
2035,8,FR,0.0
2040,8,FR,0.0
2045,8,FR,0.0
2050,8,FR,0.0
2018,1932,FR,0.0
2025,1932,FR,0.0
2030,1932,FR,0.0
2035,1932,FR,0.0
2040,1932,FR,0.0
2045,1932,FR,0.0
2050,1932,FR,0.0
2018,3856,FR,0.0
2025,3856,FR,0.0
2030,3856,FR,0.0
2035,3856,FR,0.0
2040,3856,FR,0.0
2045,3856,FR,0.0
2050,3856,FR,0.0
2018,5780,FR,0.0
2025,5780,FR,0.0
2030,5780,FR,0.0
2035,5780,FR,0.0
2040,5780,FR,0.0
2045,5780,FR,0.0
2050,5780,FR,0.0
2018,7704,FR,0.0
2025,7704,FR,0.0
2030,7704,FR,0.0
2035,7704,FR,0.0
2040,7704,FR,0.0
2045,7704,FR,0.0
2050,7704,FR,0.0
2018,8,GR,0.0
2025,8,GR,0.0
2030,8,GR,0.0
2035,8,GR,0.0
2040,8,GR,0.0
2045,8,GR,0.0
2050,8,GR,0.0
2018,1932,GR,0.0
2025,1932,GR,0.0
2030,1932,GR,0.0
2035,1932,GR,0.0
2040,1932,GR,0.0
2045,1932,GR,0.0
2050,1932,GR,0.0
2018,3856,GR,0.0
2025,3856,GR,0.0
2030,3856,GR,0.0
2035,3856,GR,0.0
2040,3856,GR,0.0
2045,3856,GR,0.0
2050,3856,GR,0.0
2018,5780,GR,0.0
2025,5780,GR,0.0
2030,5780,GR,0.0
2035,5780,GR,0.0
2040,5780,GR,0.0
2045,5780,GR,0.0
2050,5780,GR,0.0
2018,7704,GR,0.0
2025,7704,GR,0.0
2030,7704,GR,0.0
2035,7704,GR,0.0
2040,7704,GR,0.0
2045,7704,GR,0.0
2050,7704,GR,0.0
2018,8,HR,0.0
2025,8,HR,0.0
2030,8,HR,0.0
2035,8,HR,0.0
2040,8,HR,0.0
2045,8,HR,0.0
2050,8,HR,0.0
2018,1932,HR,0.0
2025,1932,HR,0.0
2030,1932,HR,0.0
2035,1932,HR,0.0
2040,1932,HR,0.0
2045,1932,HR,0.0
2050,1932,HR,0.0
2018,3856,HR,0.0
2025,3856,HR,0.0
2030,3856,HR,0.0
2035,3856,HR,0.0
2040,3856,HR,0.0
2045,3856,HR,0.0
2050,3856,HR,0.0
2018,5780,HR,0.0
2025,5780,HR,0.0
2030,5780,HR,0.0
2035,5780,HR,0.0
2040,5780,HR,0.0
2045,5780,HR,0.0
2050,5780,HR,0.0
2018,7704,HR,0.0
2025,7704,HR,0.0
2030,7704,HR,0.0
2035,7704,HR,0.0
2040,7704,HR,0.0
2045,7704,HR,0.0
2050,7704,HR,0.0
2018,8,HU,0.0
2025,8,HU,0.0
2030,8,HU,0.0
2035,8,HU,0.0
2040,8,HU,0.0
2045,8,HU,0.0
2050,8,HU,0.0
2018,1932,HU,0.0
2025,1932,HU,0.0
2030,1932,HU,0.0
2035,1932,HU,0.0
2040,1932,HU,0.0
2045,1932,HU,0.0
2050,1932,HU,0.0
2018,3856,HU,0.0
2025,3856,HU,0.0
2030,3856,HU,0.0
2035,3856,HU,0.0
2040,3856,HU,0.0
2045,3856,HU,0.0
2050,3856,HU,0.0
2018,5780,HU,0.0
2025,5780,HU,0.0
2030,5780,HU,0.0
2035,5780,HU,0.0
2040,5780,HU,0.0
2045,5780,HU,0.0
2050,5780,HU,0.0
2018,7704,HU,0.0
2025,7704,HU,0.0
2030,7704,HU,0.0
2035,7704,HU,0.0
2040,7704,HU,0.0
2045,7704,HU,0.0
2050,7704,HU,0.0
2018,8,IE,0.0
2025,8,IE,0.0
2030,8,IE,0.0
2035,8,IE,0.0
2040,8,IE,0.0
2045,8,IE,0.0
2050,8,IE,0.0
2018,1932,IE,0.0
2025,1932,IE,0.0
2030,1932,IE,0.0
2035,1932,IE,0.0
2040,1932,IE,0.0
