x1,x2,x3,y
2018,AT,Area_Rooftop_Commercial,0.0
2025,AT,Area_Rooftop_Commercial,0.0
2030,AT,Area_Rooftop_Commercial,0.0
2035,AT,Area_Rooftop_Commercial,0.0
2040,AT,Area_Rooftop_Commercial,0.0
2045,AT,Area_Rooftop_Commercial,0.0
2050,AT,Area_Rooftop_Commercial,0.0
2018,BE,Area_Rooftop_Commercial,0.0
2025,BE,Area_Rooftop_Commercial,0.0
2030,BE,Area_Rooftop_Commercial,0.0
2035,BE,Area_Rooftop_Commercial,0.0
2040,BE,Area_Rooftop_Commercial,0.0
2045,BE,Area_Rooftop_Commercial,0.0
2050,BE,Area_Rooftop_Commercial,0.0
2018,BG,Area_Rooftop_Commercial,0.0
2025,BG,Area_Rooftop_Commercial,0.0
2030,BG,Area_Rooftop_Commercial,0.0
2035,BG,Area_Rooftop_Commercial,0.0
2040,BG,Area_Rooftop_Commercial,0.0
2045,BG,Area_Rooftop_Commercial,0.0
2050,BG,Area_Rooftop_Commercial,0.0
2018,CH,Area_Rooftop_Commercial,0.0
2025,CH,Area_Rooftop_Commercial,0.0
2030,CH,Area_Rooftop_Commercial,0.0
2035,CH,Area_Rooftop_Commercial,0.0
2040,CH,Area_Rooftop_Commercial,0.0
2045,CH,Area_Rooftop_Commercial,0.0
2050,CH,Area_Rooftop_Commercial,0.0
2018,CZ,Area_Rooftop_Commercial,0.0
2025,CZ,Area_Rooftop_Commercial,0.0
2030,CZ,Area_Rooftop_Commercial,0.0
2035,CZ,Area_Rooftop_Commercial,0.0
2040,CZ,Area_Rooftop_Commercial,0.0
2045,CZ,Area_Rooftop_Commercial,0.0
2050,CZ,Area_Rooftop_Commercial,0.0
2018,DE,Area_Rooftop_Commercial,0.0
2025,DE,Area_Rooftop_Commercial,0.0
2030,DE,Area_Rooftop_Commercial,0.0
2035,DE,Area_Rooftop_Commercial,0.0
2040,DE,Area_Rooftop_Commercial,0.0
2045,DE,Area_Rooftop_Commercial,0.0
2050,DE,Area_Rooftop_Commercial,0.0
2018,DK,Area_Rooftop_Commercial,0.0
2025,DK,Area_Rooftop_Commercial,0.0
2030,DK,Area_Rooftop_Commercial,0.0
2035,DK,Area_Rooftop_Commercial,0.0
2040,DK,Area_Rooftop_Commercial,0.0
2045,DK,Area_Rooftop_Commercial,0.0
2050,DK,Area_Rooftop_Commercial,0.0
2018,EE,Area_Rooftop_Commercial,0.0
2025,EE,Area_Rooftop_Commercial,0.0
2030,EE,Area_Rooftop_Commercial,0.0
2035,EE,Area_Rooftop_Commercial,0.0
2040,EE,Area_Rooftop_Commercial,0.0
2045,EE,Area_Rooftop_Commercial,0.0
2050,EE,Area_Rooftop_Commercial,0.0
2018,ES,Area_Rooftop_Commercial,0.0
2025,ES,Area_Rooftop_Commercial,0.0
2030,ES,Area_Rooftop_Commercial,0.0
2035,ES,Area_Rooftop_Commercial,0.0
2040,ES,Area_Rooftop_Commercial,0.0
2045,ES,Area_Rooftop_Commercial,0.0
2050,ES,Area_Rooftop_Commercial,0.0
2018,FI,Area_Rooftop_Commercial,0.0
2025,FI,Area_Rooftop_Commercial,0.0
2030,FI,Area_Rooftop_Commercial,0.0
2035,FI,Area_Rooftop_Commercial,0.0
2040,FI,Area_Rooftop_Commercial,0.0
2045,FI,Area_Rooftop_Commercial,0.0
2050,FI,Area_Rooftop_Commercial,0.0
2018,FR,Area_Rooftop_Commercial,0.0
2025,FR,Area_Rooftop_Commercial,0.0
2030,FR,Area_Rooftop_Commercial,0.0
2035,FR,Area_Rooftop_Commercial,0.0
2040,FR,Area_Rooftop_Commercial,0.0
2045,FR,Area_Rooftop_Commercial,0.0
2050,FR,Area_Rooftop_Commercial,0.0
2018,GR,Area_Rooftop_Commercial,0.0
2025,GR,Area_Rooftop_Commercial,0.0
2030,GR,Area_Rooftop_Commercial,0.0
2035,GR,Area_Rooftop_Commercial,0.0
2040,GR,Area_Rooftop_Commercial,0.0
2045,GR,Area_Rooftop_Commercial,0.0
2050,GR,Area_Rooftop_Commercial,0.0
2018,HR,Area_Rooftop_Commercial,0.0
2025,HR,Area_Rooftop_Commercial,0.0
2030,HR,Area_Rooftop_Commercial,0.0
2035,HR,Area_Rooftop_Commercial,0.0
2040,HR,Area_Rooftop_Commercial,0.0
2045,HR,Area_Rooftop_Commercial,0.0
2050,HR,Area_Rooftop_Commercial,0.0
2018,HU,Area_Rooftop_Commercial,0.0
2025,HU,Area_Rooftop_Commercial,0.0
2030,HU,Area_Rooftop_Commercial,0.0
2035,HU,Area_Rooftop_Commercial,0.0
2040,HU,Area_Rooftop_Commercial,0.0
2045,HU,Area_Rooftop_Commercial,0.0
2050,HU,Area_Rooftop_Commercial,0.0
2018,IE,Area_Rooftop_Commercial,0.0
2025,IE,Area_Rooftop_Commercial,0.0
2030,IE,Area_Rooftop_Commercial,0.0
2035,IE,Area_Rooftop_Commercial,0.0
2040,IE,Area_Rooftop_Commercial,0.0
2045,IE,Area_Rooftop_Commercial,0.0
2050,IE,Area_Rooftop_Commercial,0.0
2018,IT,Area_Rooftop_Commercial,0.0
2025,IT,Area_Rooftop_Commercial,0.0
2030,IT,Area_Rooftop_Commercial,0.0
2035,IT,Area_Rooftop_Commercial,0.0
2040,IT,Area_Rooftop_Commercial,0.0
2045,IT,Area_Rooftop_Commercial,0.0
2050,IT,Area_Rooftop_Commercial,0.0
2018,LT,Area_Rooftop_Commercial,0.0
2025,LT,Area_Rooftop_Commercial,0.0
2030,LT,Area_Rooftop_Commercial,0.0
2035,LT,Area_Rooftop_Commercial,0.0
2040,LT,Area_Rooftop_Commercial,0.0
2045,LT,Area_Rooftop_Commercial,0.0
2050,LT,Area_Rooftop_Commercial,0.0
2018,LU,Area_Rooftop_Commercial,0.0
2025,LU,Area_Rooftop_Commercial,0.0
2030,LU,Area_Rooftop_Commercial,0.0
2035,LU,Area_Rooftop_Commercial,0.0
2040,LU,Area_Rooftop_Commercial,0.0
2045,LU,Area_Rooftop_Commercial,0.0
2050,LU,Area_Rooftop_Commercial,0.0
2018,LV,Area_Rooftop_Commercial,0.0
2025,LV,Area_Rooftop_Commercial,0.0
2030,LV,Area_Rooftop_Commercial,0.0
2035,LV,Area_Rooftop_Commercial,0.0
2040,LV,Area_Rooftop_Commercial,0.0
2045,LV,Area_Rooftop_Commercial,0.0
2050,LV,Area_Rooftop_Commercial,0.0
2018,NL,Area_Rooftop_Commercial,0.0
2025,NL,Area_Rooftop_Commercial,0.0
2030,NL,Area_Rooftop_Commercial,0.0
2035,NL,Area_Rooftop_Commercial,0.0
2040,NL,Area_Rooftop_Commercial,0.0
2045,NL,Area_Rooftop_Commercial,0.0
2050,NL,Area_Rooftop_Commercial,0.0
2018,NO,Area_Rooftop_Commercial,0.0
2025,NO,Area_Rooftop_Commercial,0.0
2030,NO,Area_Rooftop_Commercial,0.0
2035,NO,Area_Rooftop_Commercial,0.0
2040,NO,Area_Rooftop_Commercial,0.0
2045,NO,Area_Rooftop_Commercial,0.0
2050,NO,Area_Rooftop_Commercial,0.0
2018,PL,Area_Rooftop_Commercial,0.0
2025,PL,Area_Rooftop_Commercial,0.0
2030,PL,Area_Rooftop_Commercial,0.0
2035,PL,Area_Rooftop_Commercial,0.0
2040,PL,Area_Rooftop_Commercial,0.0
2045,PL,Area_Rooftop_Commercial,0.0
2050,PL,Area_Rooftop_Commercial,0.0
2018,PT,Area_Rooftop_Commercial,0.0
2025,PT,Area_Rooftop_Commercial,0.0
2030,PT,Area_Rooftop_Commercial,0.0
2035,PT,Area_Rooftop_Commercial,0.0
2040,PT,Area_Rooftop_Commercial,0.0
2045,PT,Area_Rooftop_Commercial,0.0
2050,PT,Area_Rooftop_Commercial,0.0
2018,RO,Area_Rooftop_Commercial,0.0
2025,RO,Area_Rooftop_Commercial,0.0
2030,RO,Area_Rooftop_Commercial,0.0
2035,RO,Area_Rooftop_Commercial,0.0
2040,RO,Area_Rooftop_Commercial,0.0
2045,RO,Area_Rooftop_Commercial,0.0
2050,RO,Area_Rooftop_Commercial,0.0
2018,SE,Area_Rooftop_Commercial,0.0
2025,SE,Area_Rooftop_Commercial,0.0
2030,SE,Area_Rooftop_Commercial,0.0
2035,SE,Area_Rooftop_Commercial,0.0
2040,SE,Area_Rooftop_Commercial,0.0
2045,SE,Area_Rooftop_Commercial,0.0
2050,SE,Area_Rooftop_Commercial,0.0
2018,SI,Area_Rooftop_Commercial,0.0
2025,SI,Area_Rooftop_Commercial,0.0
2030,SI,Area_Rooftop_Commercial,0.0
2035,SI,Area_Rooftop_Commercial,0.0
2040,SI,Area_Rooftop_Commercial,0.0
2045,SI,Area_Rooftop_Commercial,0.0
2050,SI,Area_Rooftop_Commercial,0.0
2018,SK,Area_Rooftop_Commercial,0.0
2025,SK,Area_Rooftop_Commercial,0.0
2030,SK,Area_Rooftop_Commercial,0.0
2035,SK,Area_Rooftop_Commercial,0.0
2040,SK,Area_Rooftop_Commercial,0.0
2045,SK,Area_Rooftop_Commercial,0.0
2050,SK,Area_Rooftop_Commercial,0.0
2018,TR,Area_Rooftop_Commercial,0.0
2025,TR,Area_Rooftop_Commercial,0.0
2030,TR,Area_Rooftop_Commercial,0.0
2035,TR,Area_Rooftop_Commercial,0.0
2040,TR,Area_Rooftop_Commercial,0.0
2045,TR,Area_Rooftop_Commercial,0.0
2050,TR,Area_Rooftop_Commercial,0.0
2018,UK,Area_Rooftop_Commercial,0.0
2025,UK,Area_Rooftop_Commercial,0.0
2030,UK,Area_Rooftop_Commercial,0.0
2035,UK,Area_Rooftop_Commercial,0.0
2040,UK,Area_Rooftop_Commercial,0.0
2045,UK,Area_Rooftop_Commercial,0.0
2050,UK,Area_Rooftop_Commercial,0.0
2018,NONEU_Balkan,Area_Rooftop_Commercial,0.0
2025,NONEU_Balkan,Area_Rooftop_Commercial,0.0
2030,NONEU_Balkan,Area_Rooftop_Commercial,0.0
2035,NONEU_Balkan,Area_Rooftop_Commercial,0.0
2040,NONEU_Balkan,Area_Rooftop_Commercial,0.0
2045,NONEU_Balkan,Area_Rooftop_Commercial,0.0
2050,NONEU_Balkan,Area_Rooftop_Commercial,0.0
2018,AT,Area_Rooftop_Residential,0.0
2025,AT,Area_Rooftop_Residential,0.0
2030,AT,Area_Rooftop_Residential,0.0
2035,AT,Area_Rooftop_Residential,0.0
2040,AT,Area_Rooftop_Residential,0.0
2045,AT,Area_Rooftop_Residential,0.0
2050,AT,Area_Rooftop_Residential,0.0
2018,BE,Area_Rooftop_Residential,0.0
2025,BE,Area_Rooftop_Residential,0.0
2030,BE,Area_Rooftop_Residential,0.0
2035,BE,Area_Rooftop_Residential,0.0
2040,BE,Area_Rooftop_Residential,0.0
2045,BE,Area_Rooftop_Residential,0.0
2050,BE,Area_Rooftop_Residential,0.0
2018,BG,Area_Rooftop_Residential,0.0
2025,BG,Area_Rooftop_Residential,0.0
2030,BG,Area_Rooftop_Residential,0.0
2035,BG,Area_Rooftop_Residential,0.0
2040,BG,Area_Rooftop_Residential,0.0
2045,BG,Area_Rooftop_Residential,0.0
2050,BG,Area_Rooftop_Residential,0.0
2018,CH,Area_Rooftop_Residential,0.0
2025,CH,Area_Rooftop_Residential,0.0
2030,CH,Area_Rooftop_Residential,0.0
2035,CH,Area_Rooftop_Residential,0.0
2040,CH,Area_Rooftop_Residential,0.0
2045,CH,Area_Rooftop_Residential,0.0
2050,CH,Area_Rooftop_Residential,0.0
2018,CZ,Area_Rooftop_Residential,0.0
2025,CZ,Area_Rooftop_Residential,0.0
2030,CZ,Area_Rooftop_Residential,0.0
2035,CZ,Area_Rooftop_Residential,0.0
2040,CZ,Area_Rooftop_Residential,0.0
2045,CZ,Area_Rooftop_Residential,0.0
2050,CZ,Area_Rooftop_Residential,0.0
2018,DE,Area_Rooftop_Residential,0.0
2025,DE,Area_Rooftop_Residential,0.0
2030,DE,Area_Rooftop_Residential,0.0
2035,DE,Area_Rooftop_Residential,0.0
2040,DE,Area_Rooftop_Residential,0.0
2045,DE,Area_Rooftop_Residential,0.0
2050,DE,Area_Rooftop_Residential,0.0
2018,DK,Area_Rooftop_Residential,0.0
2025,DK,Area_Rooftop_Residential,0.0
2030,DK,Area_Rooftop_Residential,0.0
2035,DK,Area_Rooftop_Residential,0.0
2040,DK,Area_Rooftop_Residential,0.0
2045,DK,Area_Rooftop_Residential,0.0
2050,DK,Area_Rooftop_Residential,0.0
2018,EE,Area_Rooftop_Residential,0.0
2025,EE,Area_Rooftop_Residential,0.0
2030,EE,Area_Rooftop_Residential,0.0
2035,EE,Area_Rooftop_Residential,0.0
2040,EE,Area_Rooftop_Residential,0.0
2045,EE,Area_Rooftop_Residential,0.0
2050,EE,Area_Rooftop_Residential,0.0
2018,ES,Area_Rooftop_Residential,0.0
2025,ES,Area_Rooftop_Residential,0.0
2030,ES,Area_Rooftop_Residential,0.0
2035,ES,Area_Rooftop_Residential,0.0
2040,ES,Area_Rooftop_Residential,0.0
2045,ES,Area_Rooftop_Residential,0.0
2050,ES,Area_Rooftop_Residential,0.0
2018,FI,Area_Rooftop_Residential,0.0
2025,FI,Area_Rooftop_Residential,0.0
2030,FI,Area_Rooftop_Residential,0.0
2035,FI,Area_Rooftop_Residential,0.0
2040,FI,Area_Rooftop_Residential,0.0
2045,FI,Area_Rooftop_Residential,0.0
2050,FI,Area_Rooftop_Residential,0.0
2018,FR,Area_Rooftop_Residential,0.0
2025,FR,Area_Rooftop_Residential,0.0
2030,FR,Area_Rooftop_Residential,0.0
2035,FR,Area_Rooftop_Residential,0.0
2040,FR,Area_Rooftop_Residential,0.0
2045,FR,Area_Rooftop_Residential,0.0
2050,FR,Area_Rooftop_Residential,0.0
2018,GR,Area_Rooftop_Residential,0.0
2025,GR,Area_Rooftop_Residential,0.0
2030,GR,Area_Rooftop_Residential,0.0
2035,GR,Area_Rooftop_Residential,0.0
2040,GR,Area_Rooftop_Residential,0.0
2045,GR,Area_Rooftop_Residential,0.0
2050,GR,Area_Rooftop_Residential,0.0
2018,HR,Area_Rooftop_Residential,0.0
2025,HR,Area_Rooftop_Residential,0.0
2030,HR,Area_Rooftop_Residential,0.0
2035,HR,Area_Rooftop_Residential,0.0
2040,HR,Area_Rooftop_Residential,0.0
2045,HR,Area_Rooftop_Residential,0.0
2050,HR,Area_Rooftop_Residential,0.0
2018,HU,Area_Rooftop_Residential,0.0
2025,HU,Area_Rooftop_Residential,0.0
2030,HU,Area_Rooftop_Residential,0.0
2035,HU,Area_Rooftop_Residential,0.0
2040,HU,Area_Rooftop_Residential,0.0
2045,HU,Area_Rooftop_Residential,0.0
2050,HU,Area_Rooftop_Residential,0.0
2018,IE,Area_Rooftop_Residential,0.0
2025,IE,Area_Rooftop_Residential,0.0
2030,IE,Area_Rooftop_Residential,0.0
2035,IE,Area_Rooftop_Residential,0.0
2040,IE,Area_Rooftop_Residential,0.0
2045,IE,Area_Rooftop_Residential,0.0
2050,IE,Area_Rooftop_Residential,0.0
2018,IT,Area_Rooftop_Residential,0.0
2025,IT,Area_Rooftop_Residential,0.0
2030,IT,Area_Rooftop_Residential,0.0
2035,IT,Area_Rooftop_Residential,0.0
2040,IT,Area_Rooftop_Residential,0.0
2045,IT,Area_Rooftop_Residential,0.0
2050,IT,Area_Rooftop_Residential,0.0
2018,LT,Area_Rooftop_Residential,0.0
2025,LT,Area_Rooftop_Residential,0.0
2030,LT,Area_Rooftop_Residential,0.0
