x1,x2,x3,y
2018,Area_Rooftop_Commercial,AT,0.0
2025,Area_Rooftop_Commercial,AT,0.0
2030,Area_Rooftop_Commercial,AT,0.0
2035,Area_Rooftop_Commercial,AT,0.0
2040,Area_Rooftop_Commercial,AT,0.0
2045,Area_Rooftop_Commercial,AT,0.0
2050,Area_Rooftop_Commercial,AT,0.0
2018,Area_Rooftop_Residential,AT,0.0
2025,Area_Rooftop_Residential,AT,0.0
2030,Area_Rooftop_Residential,AT,0.0
2035,Area_Rooftop_Residential,AT,0.0
2040,Area_Rooftop_Residential,AT,0.0
2045,Area_Rooftop_Residential,AT,0.0
2050,Area_Rooftop_Residential,AT,0.0
2018,Biomass,AT,0.0
2025,Biomass,AT,0.0
2030,Biomass,AT,0.0
2035,Biomass,AT,0.0
2040,Biomass,AT,0.0
2045,Biomass,AT,0.0
2050,Biomass,AT,0.0
2018,Hardcoal,AT,0.0
2025,Hardcoal,AT,0.0
2030,Hardcoal,AT,0.0
2035,Hardcoal,AT,0.0
2040,Hardcoal,AT,0.0
2045,Hardcoal,AT,0.0
2050,Hardcoal,AT,0.0
2018,H2,AT,0.0
2025,H2,AT,0.0
2030,H2,AT,0.0
2035,H2,AT,0.0
2040,H2,AT,0.0
2045,H2,AT,0.0
2050,H2,AT,0.0
2018,Gas_Natural,AT,0.0
2025,Gas_Natural,AT,0.0
2030,Gas_Natural,AT,0.0
2035,Gas_Natural,AT,0.0
2040,Gas_Natural,AT,0.0
2045,Gas_Natural,AT,0.0
2050,Gas_Natural,AT,0.0
2018,Nuclear,AT,0.0
2025,Nuclear,AT,0.0
2030,Nuclear,AT,0.0
2035,Nuclear,AT,0.0
2040,Nuclear,AT,0.0
2045,Nuclear,AT,0.0
2050,Nuclear,AT,0.0
2018,Oil,AT,0.0
2025,Oil,AT,0.0
2030,Oil,AT,0.0
2035,Oil,AT,0.0
2040,Oil,AT,0.0
2045,Oil,AT,0.0
2050,Oil,AT,0.0
2018,Power,AT,0.0
2025,Power,AT,0.0
2030,Power,AT,0.0
2035,Power,AT,0.0
2040,Power,AT,0.0
2045,Power,AT,0.0
2050,Power,AT,0.0
2018,Mobility_Freight,AT,0.0
2025,Mobility_Freight,AT,0.0
2030,Mobility_Freight,AT,0.0
2035,Mobility_Freight,AT,0.0
2040,Mobility_Freight,AT,0.0
2045,Mobility_Freight,AT,0.0
2050,Mobility_Freight,AT,0.0
2018,Mobility_Passenger,AT,0.0
2025,Mobility_Passenger,AT,0.0
2030,Mobility_Passenger,AT,0.0
2035,Mobility_Passenger,AT,0.0
2040,Mobility_Passenger,AT,0.0
2045,Mobility_Passenger,AT,0.0
2050,Mobility_Passenger,AT,0.0
2018,Lignite,AT,0.0
2025,Lignite,AT,0.0
2030,Lignite,AT,0.0
2035,Lignite,AT,0.0
2040,Lignite,AT,0.0
2045,Lignite,AT,0.0
2050,Lignite,AT,0.0
2018,Gas_Bio,AT,0.0
2025,Gas_Bio,AT,0.0
2030,Gas_Bio,AT,0.0
2035,Gas_Bio,AT,0.0
2040,Gas_Bio,AT,0.0
2045,Gas_Bio,AT,0.0
2050,Gas_Bio,AT,0.0
2018,Gas_Synth,AT,0.0
2025,Gas_Synth,AT,0.0
2030,Gas_Synth,AT,0.0
2035,Gas_Synth,AT,0.0
2040,Gas_Synth,AT,0.0
2045,Gas_Synth,AT,0.0
2050,Gas_Synth,AT,0.0
2018,Heat_Low_Residential,AT,0.0
2025,Heat_Low_Residential,AT,0.0
2030,Heat_Low_Residential,AT,0.0
2035,Heat_Low_Residential,AT,0.0
2040,Heat_Low_Residential,AT,0.0
2045,Heat_Low_Residential,AT,0.0
2050,Heat_Low_Residential,AT,0.0
2018,Heat_Low_Industrial,AT,0.0
2025,Heat_Low_Industrial,AT,0.0
2030,Heat_Low_Industrial,AT,0.0
2035,Heat_Low_Industrial,AT,0.0
2040,Heat_Low_Industrial,AT,0.0
2045,Heat_Low_Industrial,AT,0.0
2050,Heat_Low_Industrial,AT,0.0
2018,Heat_Medium_Industrial,AT,0.0
2025,Heat_Medium_Industrial,AT,0.0
2030,Heat_Medium_Industrial,AT,0.0
2035,Heat_Medium_Industrial,AT,0.0
2040,Heat_Medium_Industrial,AT,0.0
2045,Heat_Medium_Industrial,AT,0.0
2050,Heat_Medium_Industrial,AT,0.0
2018,Heat_High_Industrial,AT,0.0
2025,Heat_High_Industrial,AT,0.0
2030,Heat_High_Industrial,AT,0.0
2035,Heat_High_Industrial,AT,0.0
2040,Heat_High_Industrial,AT,0.0
2045,Heat_High_Industrial,AT,0.0
2050,Heat_High_Industrial,AT,0.0
2018,Biofuel,AT,0.0
2025,Biofuel,AT,0.0
